esg_id,branch_id,reporting_month,energy_bill,energy_kwh,fuel_litres,paper_reams,waste_kg,water_litres,training_hours,complaints_count
91,10,2023-04-01,155422.03,10558.58,9447.65,1186.65,988.88,32338.04,111.31,17
92,43,2023-04-02,183566.12,18448.67,6583.89,1536.34,3315.05,61205.03,322.44,33
93,1,2023-04-03,26541.47,2972.23,8706.86,1319.18,3468.96,57978.99,446.11,34
94,43,2023-04-04,170510.34,24779.71,7276.31,873.48,4612.05,88573.96,372.19,2
95,23,2023-04-05,148154.34,46277.73,9037.95,576.48,888.29,72679.32,389.71,38
96,27,2023-04-06,39815.57,29398.43,1748.47,44.81,2361.07,44152.18,239.8,46
97,33,2023-04-07,156569.46,30389.6,8296.08,651.47,3763.93,36362.43,356.22,13
98,4,2023-04-08,126396.57,26294.1,7312.95,412.68,3246.03,82341.51,430.65,11
99,48,2023-04-09,20324.56,40091.47,6939.07,604.62,3567.53,83794.99,365.71,42
100,33,2023-04-10,192865.11,16953.69,7664.11,989.38,3164.9,90882.83,11.88,49
101,42,2023-04-11,150973.49,46021.29,603.79,1095.99,2968.74,36649.78,9.86,42
102,6,2023-04-12,199477.84,10468.35,6344.2,509.78,4009.62,43196.35,279.81,16
103,29,2023-04-13,10991.87,31865.39,2688.0,1734.5,2967.78,22745.4,498.47,38
104,15,2023-04-14,108880.1,31181.65,1082.02,51.38,2699.76,94409.71,457.23,12
105,3,2023-04-15,186927.41,34836.29,334.29,1243.87,456.55,71556.53,197.15,49
106,38,2023-04-16,81942.16,27995.08,4688.71,1452.55,3619.7,21420.92,79.21,46
107,5,2023-04-17,53856.93,12758.74,7223.53,136.87,1324.21,63662.17,49.85,35
108,2,2023-04-18,6174.72,24149.77,4731.9,71.34,2286.83,99865.37,55.25,36
109,10,2023-04-19,126358.14,2423.09,318.35,121.04,4432.51,53922.68,138.91,35
110,5,2023-04-20,123299.23,37701.54,8540.58,602.69,405.37,79099.24,60.36,15
111,9,2023-04-21,62077.18,4460.85,1127.87,1322.5,4766.34,46885.39,491.03,21
112,37,2023-04-22,40552.94,45852.99,1866.33,1748.2,1767.14,11029.29,302.36,13
113,5,2023-04-23,190812.98,12326.83,3054.29,1279.82,861.49,1740.52,211.44,16
114,24,2023-04-24,94572.23,28083.05,2254.32,1199.87,4033.97,99909.88,214.23,24
115,13,2023-04-25,112715.97,39156.95,5277.34,1735.31,398.06,42572.6,201.91,9
116,13,2023-04-26,181225.93,13080.38,465.89,1500.42,1868.11,73534.04,398.78,43
117,11,2023-04-27,92420.71,5886.72,4600.47,914.44,1202.84,43792.11,6.99,24
118,24,2023-04-28,110641.36,27861.74,3079.6,1754.35,3045.75,20008.93,240.76,43
119,23,2023-04-29,139159.83,47259.1,2132.26,1900.62,3973.25,92380.33,311.63,39
120,8,2023-04-30,103564.16,39302.91,975.81,789.63,3027.79,85667.03,383.81,12
121,37,2023-05-01,128324.23,26266.93,3743.28,370.8,4459.76,56108.29,290.4,14
122,30,2023-05-02,26081.17,13383.95,711.74,1685.3,388.18,11001.83,81.09,41
123,2,2023-05-03,171346.67,41261.0,2551.15,1577.15,4503.93,33612.15,497.06,10
124,15,2023-05-04,47779.01,17402.68,519.79,1840.41,4213.54,12452.32,375.23,21
125,13,2023-05-05,134251.9,9558.19,5959.76,1323.94,2220.6,25689.83,96.83,10
126,41,2023-05-06,90821.17,34837.44,196.23,1694.77,2635.14,94743.24,125.58,45
127,47,2023-05-07,9082.79,48960.43,5616.93,518.43,2363.49,88105.73,237.23,35
128,29,2023-05-08,196754.47,22533.93,7791.63,1968.55,3834.39,21527.53,459.29,20
129,38,2023-05-09,77359.91,22641.48,4562.12,525.73,719.87,7602.55,388.32,25
130,46,2023-05-10,138013.36,29695.2,1835.01,751.31,959.88,54848.69,202.36,23
131,21,2023-05-11,43387.65,36906.18,2819.68,803.65,1442.77,26590.81,294.1,37
132,8,2023-05-12,82460.31,15741.46,4584.49,1032.31,2084.43,68945.56,389.46,13
133,7,2023-05-13,180375.51,18266.73,6399.18,1239.3,4623.4,43624.85,191.92,11
134,42,2023-05-14,105749.83,37545.52,2287.35,976.83,4138.47,14813.57,229.39,2
135,4,2023-05-15,52391.77,32602.66,3375.19,1522.71,611.33,22777.99,67.9,40
136,31,2023-05-16,148403.72,35615.87,333.6,1515.88,1834.02,43842.37,206.3,37
137,30,2023-05-17,65566.0,35563.29,5054.73,673.44,2237.97,82934.08,177.21,43
138,11,2023-05-18,88545.09,44333.08,3212.2,1842.51,4384.44,26054.75,258.09,25
139,17,2023-05-19,153674.66,30314.44,8560.69,1183.98,614.36,71965.29,306.5,12
140,34,2023-05-20,68245.79,34349.74,5001.46,1375.85,2916.73,9111.58,347.22,41
141,25,2023-05-21,47352.68,37961.26,156.68,165.93,152.88,57784.94,337.01,12
142,40,2023-05-22,118749.42,7855.69,1776.75,1890.56,765.21,35283.89,25.47,0
143,44,2023-05-23,160617.09,35465.09,7733.54,154.89,3300.09,85164.95,349.63,36
144,39,2023-05-24,99051.6,8566.44,6866.92,1810.32,3362.81,54849.28,405.09,42
145,5,2023-05-25,116098.32,15004.46,342.85,1577.27,4096.49,99806.2,99.19,24
146,30,2023-05-26,100237.08,25975.4,8113.18,376.32,2926.61,51374.54,213.51,4
147,23,2023-05-27,42540.98,18971.1,6842.85,533.25,3623.77,11916.85,133.91,42
148,35,2023-05-28,14691.7,9010.47,6368.2,985.87,4225.14,29015.78,239.85,22
149,11,2023-05-29,89471.61,9127.74,8254.83,1318.0,1675.06,69284.04,307.73,42
150,41,2023-05-30,145742.0,40472.14,3666.06,1275.71,3099.23,43059.03,123.11,39
151,42,2023-05-31,162754.5,34389.56,7675.7,52.35,181.65,86240.11,144.26,38
152,10,2023-06-01,164513.42,28429.04,1513.76,331.88,2273.83,17225.04,260.86,10
153,11,2023-06-02,10460.68,48318.58,8188.11,142.78,228.54,75395.25,110.41,31
154,25,2023-06-03,168979.73,46950.63,1063.91,1644.39,804.31,42181.86,38.53,20
155,34,2023-06-04,108330.45,45507.42,734.33,500.32,3333.85,39148.44,36.44,42
156,37,2023-06-05,141689.83,24589.9,2594.31,1199.28,520.4,6909.99,398.57,4
157,3,2023-06-06,118130.92,16291.33,4131.97,432.22,1879.61,16136.11,489.2,27
158,30,2023-06-07,5600.13,25696.97,7141.25,26.76,3413.63,94296.31,205.26,28
159,50,2023-06-08,136210.3,24473.64,3818.33,1941.61,2206.75,67005.14,190.31,17
160,41,2023-06-09,196904.52,25135.01,6330.12,51.76,4542.59,49706.01,92.78,27
161,41,2023-06-10,21225.09,6839.41,1607.82,869.98,4162.44,58065.61,348.17,7
162,10,2023-06-11,16346.46,48345.4,3880.22,1804.42,3274.75,12634.9,483.28,12
163,16,2023-06-12,94335.09,37381.94,2641.82,1344.8,709.98,19010.51,17.45,2
164,46,2023-06-13,172074.2,42355.18,4848.79,1244.18,2608.61,73560.91,280.18,26
165,6,2023-06-14,88800.67,34970.25,6130.44,729.21,1936.02,26504.92,498.19,32
166,32,2023-06-15,117648.02,7905.16,8734.59,428.8,4705.25,94818.22,169.75,26
167,31,2023-06-16,140868.93,5557.77,6895.95,100.55,4559.57,76252.22,266.12,4
168,36,2023-06-17,26820.16,37522.29,3710.12,1686.79,94.15,62618.12,430.98,30
169,46,2023-06-18,169040.45,25515.24,5905.87,601.51,1218.59,5012.19,302.16,2
170,36,2023-06-19,116325.11,30962.84,4724.94,1784.51,698.88,57263.71,250.88,19
171,40,2023-06-20,189757.96,16716.64,4508.14,1186.32,2716.32,26706.65,463.66,25
172,34,2023-06-21,168171.12,42943.71,274.01,515.99,4711.85,59376.87,42.16,43
173,43,2023-06-22,116343.19,29818.0,545.94,752.84,2249.4,97537.83,303.78,14
174,37,2023-06-23,34713.31,44133.39,2967.85,1438.08,650.32,3298.68,218.31,11
175,43,2023-06-24,90800.27,23469.75,9216.48,1895.03,3992.66,93466.03,191.79,8
176,15,2023-06-25,151135.73,36859.63,362.49,1201.49,195.41,69201.65,334.45,18
177,34,2023-06-26,49415.09,7016.58,8510.34,409.56,1530.61,61189.13,71.85,26
178,42,2023-06-27,48479.09,29216.11,7824.71,1311.92,2381.23,41046.5,360.72,19
179,7,2023-06-28,144308.58,40324.42,8849.31,151.32,782.3,76979.91,88.95,4
180,33,2023-06-29,54357.58,6529.56,365.75,583.67,3595.13,10953.73,41.18,3
181,43,2023-06-30,133588.06,48492.8,2786.12,753.52,171.18,89837.47,378.47,14
182,19,2023-07-01,31635.48,4561.09,1607.5,1890.15,2485.19,43702.25,8.45,42
183,41,2023-07-02,60583.26,38339.3,7164.91,1879.88,1027.59,49687.17,423.49,8
184,43,2023-07-03,64604.49,46900.57,6950.2,251.79,1873.87,63265.91,72.11,19
185,39,2023-07-04,18545.78,21216.95,2049.58,1048.52,1460.51,74510.95,63.41,30
186,3,2023-07-05,154703.46,40361.23,9474.57,1886.7,3957.19,7312.26,421.78,16
187,2,2023-07-06,168215.16,41073.17,686.48,1855.94,2016.63,47875.3,396.02,8
188,1,2023-07-07,164581.58,46609.75,8015.63,1924.2,1293.33,83557.8,489.64,17
189,24,2023-07-08,124840.25,22723.97,6179.34,1594.53,810.69,51331.57,229.96,36
190,10,2023-07-09,169551.25,23717.64,3558.52,880.59,2764.43,76046.8,355.5,16
191,9,2023-07-10,135025.27,31832.49,7756.79,17.2,2775.09,35591.4,402.64,33
192,33,2023-07-11,112932.34,21632.59,7197.64,1844.46,1263.29,84038.75,255.84,43
193,22,2023-07-12,112127.81,23627.47,3225.64,742.44,2206.97,83467.66,370.3,37
194,6,2023-07-13,174120.32,3082.64,4596.1,550.4,252.98,60516.14,398.78,8
195,49,2023-07-14,97407.66,3229.15,805.74,1756.69,2835.0,41237.24,442.38,16
196,15,2023-07-15,104713.37,1910.04,1589.91,829.19,4453.03,26283.03,155.25,27
197,15,2023-07-16,130155.49,49585.62,5381.14,1188.35,2271.93,46368.47,460.71,10
198,22,2023-07-17,197254.26,48970.2,4399.03,1930.31,522.15,58677.62,481.19,1
199,4,2023-07-18,60783.35,1302.45,6784.22,169.97,1337.07,34220.32,223.84,44
200,42,2023-07-19,143880.17,27889.75,3375.5,539.65,2912.09,10371.36,293.12,49
201,12,2023-07-20,164217.17,12602.55,2768.59,1875.1,4163.82,64753.61,52.34,39
202,26,2023-07-21,16098.31,15266.37,847.64,1293.54,3355.96,17850.77,344.37,0
203,29,2023-07-22,193049.07,15277.65,3339.45,1549.18,3562.99,6101.51,394.87,14
204,36,2023-07-23,113263.48,4504.52,3848.45,1112.44,4088.04,22392.16,304.14,3
205,40,2023-07-24,34740.55,45638.39,5476.14,348.41,3079.33,1887.37,183.67,2
206,16,2023-07-25,56243.25,41762.45,5789.66,1637.33,378.03,94078.61,25.89,31
207,45,2023-07-26,60345.4,3407.26,7062.87,867.19,2760.1,12072.97,7.56,35
208,22,2023-07-27,38108.34,22213.0,125.78,1164.41,1511.8,9896.71,184.56,35
209,20,2023-07-28,39783.93,38564.52,111.47,881.01,3779.9,8593.21,156.06,6
210,15,2023-07-29,136153.59,47869.69,1640.9,85.39,571.15,7188.08,143.44,32
211,13,2023-07-30,63224.08,48260.86,4334.55,614.41,4699.43,47700.48,468.6,48
212,34,2023-07-31,111765.47,42451.5,618.67,148.04,3976.4,74157.88,167.63,14
213,43,2023-08-01,51183.28,45354.42,2835.35,1442.03,1175.16,93412.36,316.19,44
214,29,2023-08-02,53589.01,37850.94,8186.54,1235.88,2068.78,73373.99,335.86,20
215,11,2023-08-03,134335.74,44959.56,2367.73,623.97,3612.82,45175.03,350.95,49
216,28,2023-08-04,10865.3,8194.22,7903.59,1794.82,2597.42,10560.78,279.48,46
217,10,2023-08-05,56158.86,32203.44,3800.12,701.44,1417.96,89984.46,275.71,4
218,35,2023-08-06,108754.47,7726.42,7216.52,645.16,1530.12,82261.74,296.95,41
219,46,2023-08-07,67972.83,43930.14,1333.26,1988.04,2627.28,30729.74,392.7,13
220,24,2023-08-08,129816.87,48103.08,5745.89,1832.24,2647.74,98452.55,137.72,10
221,48,2023-08-09,194528.13,17245.88,3561.24,929.56,781.29,17382.61,103.18,7
222,32,2023-08-10,154271.86,15399.81,1695.58,1604.44,2497.71,32175.77,143.63,8
223,30,2023-08-11,42353.84,37861.44,4361.11,437.46,3473.06,48310.46,260.85,19
224,6,2023-08-12,159667.66,41288.64,7294.72,1497.82,1172.96,60423.56,399.9,10
225,13,2023-08-13,30491.53,7983.01,3882.4,906.87,3073.82,25763.57,176.54,35
226,38,2023-08-14,14239.51,28186.03,1428.58,377.46,842.12,1834.83,180.99,12
227,44,2023-08-15,10511.88,17914.75,3640.97,809.27,2706.73,55254.59,12.32,36
228,20,2023-08-16,186248.17,22117.46,3750.59,225.85,130.46,46028.07,65.64,6
229,34,2023-08-17,79667.68,7512.0,2219.0,243.59,2505.07,98774.21,412.04,7
230,8,2023-08-18,34936.24,47897.36,2697.47,1116.22,4656.8,16877.71,247.55,0
231,46,2023-08-19,46030.83,34444.86,9830.74,1128.5,1377.09,27355.21,248.71,19
232,9,2023-08-20,31942.83,33619.65,5466.4,1745.26,3399.57,65983.42,422.27,20
233,42,2023-08-21,90229.05,19223.34,7078.56,646.87,612.36,21841.5,326.39,7
234,39,2023-08-22,129931.08,9276.5,3364.26,377.32,1396.79,38206.89,332.74,1
235,18,2023-08-23,16089.51,44948.42,9324.13,298.85,3054.59,41242.75,226.75,45
236,46,2023-08-24,30172.92,10881.16,6430.88,1948.47,3845.07,62812.3,302.62,44
237,26,2023-08-25,160646.55,2004.09,2104.32,798.42,1234.39,19558.49,347.4,40
238,35,2023-08-26,135745.54,23020.35,621.04,1341.72,2379.44,64465.86,498.66,15
239,48,2023-08-27,199378.15,49253.66,7642.53,527.83,3195.34,33463.29,302.75,9
240,26,2023-08-28,93572.71,25965.62,5738.36,302.41,2985.13,67547.99,246.32,37
241,39,2023-08-29,176478.8,6761.61,460.9,1806.71,3581.07,57600.46,17.44,39
242,26,2023-08-30,92297.39,3034.49,5437.72,1870.69,4903.4,64438.45,285.22,26
243,46,2023-08-31,133729.38,3528.7,6491.1,1861.28,2479.59,65052.97,343.13,14
244,37,2023-09-01,125677.04,45900.24,2793.8,1709.61,1098.97,17118.17,210.1,48
245,15,2023-09-02,186530.75,24857.67,414.07,802.93,2761.37,92522.79,487.19,12
246,47,2023-09-03,67567.0,32125.11,4057.33,66.13,896.67,44864.64,191.57,35
247,1,2023-09-04,52596.72,5600.68,1272.12,1556.14,3206.1,79830.57,182.68,14
248,1,2023-09-05,100931.29,20149.29,2403.0,1298.73,2102.07,81312.12,482.76,8
249,40,2023-09-06,44169.41,24070.15,1416.44,1089.87,3691.02,22524.81,300.06,39
250,6,2023-09-07,106007.35,24771.52,445.1,1484.5,1512.2,83388.72,17.44,4
251,48,2023-09-08,134661.97,43294.55,6969.52,1629.47,3230.26,11875.56,59.14,9
252,14,2023-09-09,197297.53,46292.43,6153.71,633.44,329.41,91353.67,151.02,27
253,5,2023-09-10,190995.7,47438.6,5597.79,80.06,1122.06,58467.93,310.61,1
254,3,2023-09-11,54124.18,9279.63,885.26,1726.97,3082.37,97692.19,465.46,41
255,15,2023-09-12,92348.99,7628.8,3720.05,1800.38,693.04,92806.43,125.79,20
256,18,2023-09-13,104334.24,14399.0,7704.3,63.25,3844.27,17676.26,218.48,22
257,48,2023-09-14,106898.84,46824.75,131.48,1295.82,571.11,22224.67,409.46,46
258,30,2023-09-15,159466.72,16443.15,7794.27,439.52,478.07,35385.64,187.22,13
259,15,2023-09-16,101096.26,34719.88,3759.09,199.02,2301.28,21562.74,449.46,42
260,40,2023-09-17,35050.66,38986.06,3068.63,432.65,3896.23,2285.94,431.93,39
261,22,2023-09-18,46953.25,7331.39,1984.7,43.65,2447.98,19739.62,268.42,36
262,35,2023-09-19,146219.13,39656.17,975.8,78.72,3165.15,84963.77,321.22,10
263,36,2023-09-20,166135.82,11892.49,7018.74,214.9,3010.23,93311.68,445.29,49
264,49,2023-09-21,97985.5,29279.85,3755.16,1466.88,3710.14,20487.6,165.34,14
265,8,2023-09-22,81172.44,41677.1,1310.97,1588.83,1702.58,30953.6,65.66,2
266,26,2023-09-23,143256.7,9885.89,2588.5,999.53,2313.84,42105.31,199.12,18
267,27,2023-09-24,144272.22,38593.69,2534.09,1352.86,3674.48,91949.46,337.77,21
268,5,2023-09-25,109839.83,11777.68,5363.85,245.16,2474.35,10497.86,488.38,2
269,42,2023-09-26,13577.44,3648.06,4497.53,569.4,1544.53,19755.07,426.25,25
270,8,2023-09-27,101244.84,11738.85,7071.6,1340.54,1900.97,67425.9,116.25,1
271,23,2023-09-28,61130.48,31722.89,6463.02,1725.41,2446.36,32915.68,110.34,49
272,2,2023-09-29,94649.12,1897.68,2155.33,1991.46,4813.07,51883.04,449.44,24
273,11,2023-09-30,38738.42,39027.5,6158.42,1197.77,203.41,2093.82,450.24,23
274,41,2023-10-01,61925.39,23259.75,3452.39,991.03,962.56,23656.31,45.58,40
275,38,2023-10-02,23387.37,1152.33,2553.33,1260.76,4699.05,28152.71,3.2,29
276,12,2023-10-03,180932.61,48032.6,7145.33,1283.27,4839.22,20300.9,365.01,45
277,1,2023-10-04,104974.32,43824.06,7085.63,551.17,496.43,60708.2,1.55,47
278,27,2023-10-05,153699.84,27023.65,7743.31,1948.13,2163.03,98286.46,463.85,23
279,5,2023-10-06,74582.28,33007.73,8542.08,1632.34,3505.13,63198.24,471.34,35
280,35,2023-10-07,194472.1,43870.7,2940.69,1028.03,2828.32,83594.89,458.95,7
281,37,2023-10-08,47670.42,31017.66,389.32,388.76,2245.48,26318.96,471.89,47
282,14,2023-10-09,168950.63,22592.28,4740.31,456.12,4916.8,59094.3,127.73,11
283,22,2023-10-10,172135.1,31510.59,3278.34,1015.41,191.67,96575.68,353.05,19
284,22,2023-10-11,30501.47,34529.45,4572.96,951.78,4692.14,6690.45,401.62,40
285,14,2023-10-12,72011.66,4137.2,341.88,1010.96,4820.86,48841.18,163.12,34
286,33,2023-10-13,137967.96,45875.26,5172.26,979.04,4758.87,69233.14,406.76,37
287,16,2023-10-14,120360.91,42938.62,4745.66,919.11,3983.85,23083.18,32.2,7
288,4,2023-10-15,198583.91,30933.05,6177.04,467.98,1453.61,32857.14,64.49,9
289,45,2023-10-16,30815.14,6460.2,7682.96,1691.02,1069.26,62445.09,186.52,12
290,14,2023-10-17,159951.05,45240.11,1953.47,344.05,4184.38,6170.19,266.22,36
291,48,2023-10-18,42679.51,25822.93,9667.57,268.22,1848.31,62397.7,485.61,35
292,5,2023-10-19,9855.41,45820.08,6186.59,1085.07,1261.72,6699.05,334.42,45
293,2,2023-10-20,81775.65,6399.23,6572.32,1450.64,2863.08,13274.37,125.03,5
294,48,2023-10-21,48593.9,48996.52,9703.3,1922.95,406.2,21396.52,96.47,24
295,49,2023-10-22,190582.93,36621.1,8277.04,790.0,4878.36,40701.38,290.03,7
296,12,2023-10-23,194835.57,24305.64,2854.71,1025.24,2284.99,2486.04,394.97,48
297,11,2023-10-24,181287.26,46860.9,7818.05,1864.01,994.29,57664.54,407.88,43
298,1,2023-10-25,199975.95,3200.63,9922.04,623.66,4615.53,58339.36,392.17,25
299,23,2023-10-26,82188.75,14542.26,2366.92,119.92,4508.6,48701.74,94.73,27
300,38,2023-10-27,197833.25,27925.56,7917.88,159.08,343.0,38456.21,222.09,26
